siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement,dropcontact_status,dropcontact_request_id,dropcontact_email_selected,dropcontact_email_selected_qualification,dropcontact_email_candidates,dropcontact_credits_left_after_post
481284354,48128435400059,SETELIA,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2022,2005-03-08,PARIS,75002,75102,2 RUE VOLNEY,,75,skipped_missing_required_fields,,,,,
622012748,62201274801231,SUEZ RV ENERGIE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,38.21Z,Traitement et élimination des déchets non dangereux,"Collecte, traitement et élimination des déchets ; récupération",32,250,499,2022,1984-06-29,PUTEAUX,92800,92062,4 PLACE DE LA PYRAMIDE,ALTIPLANO,75,skipped_missing_required_fields,,,,,
394003289,39400328900763,MA NOUVELLE VILLE,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,70.22Z,Conseil pour les affaires et autres conseils de gestion,Activités des sièges sociaux ; conseil de gestion,21,50,99,2022,1994-01-01,PARIS,75013,75113,19 QUAI D'AUSTERLITZ,19-21,75,skipped_missing_required_fields,,,,,
881248165,88124816500014,ELTO FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.12B,"Ingénierie, études techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2023,2019-12-20,PARIS,75020,75120,38 AVENUE LEON GAUMONT,,75,skipped_missing_required_fields,,,,,
429527286,42952728600075,CARL ZEISS MEDITEC FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.46Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,"Commerce de gros, à l'exception des automobiles et des motocycles",22,100,199,2022,2000-02-16,RUEIL-MALMAISON,92500,92063,15 AVENUE EDOUARD BELIN,,75,skipped_missing_required_fields,,,,,
572195550,57219555000171,EDITIONS DALLOZ,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,58.11Z,Édition de livres,Édition,22,100,199,2022,1957-01-01,COURBEVOIE,92400,92026,10 PLACE DES VOSGES,TOUR LEFEBVRE DALLOZ,75,skipped_missing_required_fields,,,,,
811315167,81131516700064,WESCALE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,62.01Z,Programmation informatique,"Programmation, conseil et autres activités informatiques",21,50,99,2022,2015-05-05,PARIS,75009,75109,34 BOULEVARD HAUSSMANN,,75,skipped_missing_required_fields,,,,,
562076299,56207629900048,SOC CHLOE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.49Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,"Commerce de gros, à l'exception des automobiles et des motocycles",32,250,499,2023,1956-01-01,PARIS,75008,75108,5 AVENUE PERCIER,5 A 7,75,skipped_missing_required_fields,,,,,
394765689,39476568900044,EMKA ELECTRONIQUE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,26.12Z,Fabrication de cartes électroniques assemblées,"Fabrication de produits informatiques, électroniques et optiques",22,100,199,2022,1994-04-15,PRUNIERS-EN-SOLOGNE,41200,41185,RUE DU PATUREAU DE LA GRANGE,,75,skipped_missing_required_fields,,,,,
392290169,39229016900037,A LOUISIANE,True,0,Inscrit,"SARL, société à responsabilité limitée",5499,81.21Z,Nettoyage courant des bâtiments,Services relatifs aux bâtiments et aménagement paysager,21,50,99,2022,1993-08-01,SURESNES,92150,92073,49 RUE ROUGET DE LISLE,,75,skipped_missing_required_fields,,,,,
