siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
799324124,79932412400038,HALL DU LIVRE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,47.61Z,Commerce de détail de livres en magasin spécialisé,"Commerce de détail, à l'exception des automobiles et des motocycles",21,50,99,2022,2013-12-12,NANCY,54000,54395,53 RUE SAINT DIZIER,53-55,75
572057750,57205775000018,FECIT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,55.10Z,Hôtels et hébergement similaire,Hébergement,21,50,99,2022,1957-01-01,PARIS,75008,75108,38 AVENUE DE FRIEDLAND,38 A 40,75
801792748,80179274800015,MIRAMAR,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,55.10Z,Hôtels et hébergement similaire,Hébergement,22,100,199,2022,2014-04-11,PARIS,75008,75108,23 RUE FRANCOIS IER,,75
891678971,89167897100013,POKE HOUSE FRANCE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,56.10C,Restauration de type rapide,Restauration,21,50,99,2022,2020-11-27,PARIS,75008,75108,78 AVENUE DES CHAMPS ELYSEES,BUREAU 562,75
799349949,79934994900013,GREENLOG,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,52.29B,Affrètement et organisation des transports,Entreposage et services auxiliaires des transports,21,50,99,2022,2013-12-11,PARIS,75006,75106,25 RUE DE L'ECOLE DE MEDECINE,,75
197523889,19752388900016,LYCEE PROFESSIONNEL PIERRE LESCOT,True,0,Non inscrit,Établissement public local d'enseignement,7331,85.32Z,Enseignement secondaire technique ou professionnel,Enseignement,21,50,99,2022,1970-02-26,PARIS,75001,75101,37 RUE DES BOURDONNAIS,,75
784405821,78440582100033,FFA FEDERATION FRANCAISE AVIRON,True,0,Non inscrit,"Association déclarée, reconnue d'utilité publique",9230,85.51Z,Enseignement de disciplines sportives et d'activités de loisirs,Enseignement,21,50,99,2022,1983-09-27,NOGENT-SUR-MARNE,94130,94052,17 BOULEVARD DE LA MARNE,,75
775682750,77568275000051,COMITE PARISIEN ACSJF,True,0,Non inscrit,Association déclarée,9220,87.90A,Hébergement social pour enfants en difficultés,Hébergement médico-social et social,21,50,99,2022,1900-01-01,PARIS,75006,75106,63 RUE MONSIEUR LE PRINCE,,75
491583100,49158310000012,ALTAVIA CONNECT,True,0,Inscrit,"GIE, groupement d'intérêt économique",6220,73.11Z,Activités des agences de publicité,Publicité et études de marché,21,50,99,2023,2006-09-01,SAINT-OUEN-SUR-SEINE,93400,93070,10 RUE BLANQUI,,75
562086330,56208633000064,VIRAX S A,True,0,Inscrit,"SAS, société par actions simplifiée",5710,25.73B,Fabrication d'autres outillages,"Fabrication de produits métalliques, à l'exception des machines et des équipements",22,100,199,2022,1965-01-01,EPERNAY,51200,51230,39 QUAI DE LA MARNE,041,75
503388431,50338843100044,BRETAGNE SURETE PROTECTION,True,0,Inscrit,"EURL, entreprise unipersonnelle à responsabilité limitée",5498,80.10Z,Activités de sécurité privée,Enquêtes et sécurité,22,100,199,2022,2008-03-18,PARIS,75017,75117,45 RUE BOURSAULT,,75
424226231,42422623100068,OBJECTWARE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,62.02A,Conseil en systèmes et logiciels informatiques,"Programmation, conseil et autres activités informatiques",32,250,499,2022,1999-05-13,PARIS,75008,75108,10 AVENUE DE MESSINE,,75
422041426,42204142600053,SOLOCAL MARKETING SERVICES,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,63.11Z,"Traitement de données, hébergement et activités connexes",Services d'information,32,250,499,2022,1999-03-01,BOULOGNE-BILLANCOURT,92100,92012,204 ROND-POINT DU PONT DE SEVRES,,75
418164620,41816462000050,IGL INCENTIVE GESTION LOGISTIQUE SAS,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,52.29B,Affrètement et organisation des transports,Entreposage et services auxiliaires des transports,21,50,99,2023,1998-03-16,MOYENMOUTIER,88420,88319,ZI DE LA PEPINIERE,,75
435174867,43517486700018,JUVA DISTRIBUTION,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.45Z,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,"Commerce de gros, à l'exception des automobiles et des motocycles",21,50,99,2022,2001-03-27,PARIS,75008,75108,8 RUE CHRISTOPHE COLOMB,,75
