siren,siret_siege,nom_entreprise,personne_morale,entreprise_cessee,statut_rcs,forme_juridique,categorie_juridique,code_naf,libelle_code_naf,domaine_activite,tranche_effectif,effectif_min,effectif_max,annee_effectif,date_creation,ville,code_postal,code_commune,adresse_ligne_1,adresse_ligne_2,departement
491468401,49146840100097,SGS AERONAUTICS,True,0,Inscrit,"SAS, société par actions simplifiée",5710,71.20B,"Analyses, essais et inspections techniques",Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,21,50,99,2023,2006-08-01,LES SORINIERES,44840,44198,16 RUE DES CLAIRIERES,ZA DU TAILLIS,91
842476277,84247627700012,BRIDGESTONE EUROPE NV/SA,True,0,Inscrit,Société commerciale étrangère immatriculée au RCS,3120,45.31Z,Commerce de gros d'équipements automobiles,Commerce et réparation d'automobiles et de motocycles,31,200,249,2023,2018-10-01,1932 ZAVENTEM,,,KLEINE KLOOSTERSTAAT 10,,91
892172172,89217217200017,CENTRE DE FORMATION ET DE PROFESSIONNALISATION GRAND PARIS SUD,True,0,Inscrit,Établissement public local à caractère industriel ou commercial,4140,85.59B,Autres enseignements,Enseignement,21,50,99,2022,2021-01-01,GRIGNY,91350,91286,23 RUE DES ATELIERS,,91
353189848,35318984800016,EUROFINS CEREP,True,0,Inscrit,SA à conseil d'administration (s.a.i.),5599,72.19Z,Recherche-développement en autres sciences physiques et naturelles,Recherche-développement scientifique,31,200,249,2022,1990-01-22,CELLE-LEVESCAULT,86600,86045,2 RUE DU PROFESSEUR GARGOUIL,,91
812119311,81211931100023,REAUTE CHOCOLATS DISTRIBUTION,True,0,Inscrit,"SAS, société par actions simplifiée",5710,46.36Z,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie","Commerce de gros, à l'exception des automobiles et des motocycles",22,100,199,2023,2015-07-01,CHATEAU-GONTIER-SUR-MAYENNE,53200,53062,1 RUE DE LA ROBERDERIE,,91
380448944,38044894400237,VINCI CONSTRUCTION FRANCE,True,0,Inscrit,"SAS, société par actions simplifiée",5710,41.20B,Construction d'autres bâtiments,Construction de bâtiments,32,250,499,2023,1991-01-08,NANTERRE,92000,92050,1973 BOULEVARD DE LA DEFENSE,L ARCHIPEL,91
353944309,35394430900031,SFRE SOCIETE FRANCILIENNE DE ROUTES ET EQUIPEMENT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,43.12A,Travaux de terrassement courants et travaux préparatoires,Travaux de construction spécialisés,21,50,99,2022,1990-01-03,ETAMPES,91150,91223,35 AVENUE DES GRENOTS,ZI,91
696980176,69698017600031,SANET SOC D'ASSAINISSEMENT ET DE NETTOIEMENT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,37.00Z,Collecte et traitement des eaux usées,Collecte et traitement des eaux usées,21,50,99,2022,1969-01-01,BORNEL,60540,60088,Z A D'OUTREVILLE,,91
403462807,40346280700013,SOCIETE DES TRANSPORTS PREMAT,True,0,Inscrit,"SAS, société par actions simplifiée",5710,49.41A,Transports routiers de fret interurbains,Transports terrestres et transport par conduites,31,200,249,2022,1995-12-15,LE PLESSIS-PATE,91220,91494,14 RUE DU BIC DE LA REVOLUTION,,91
534437595,53443759500141,BIG GROUPE,True,0,Inscrit,"SASU, société par actions simplifiée unipersonnelle",5720,56.10C,Restauration de type rapide,Restauration,32,250,499,2023,2011-10-01,PARIS,75001,75101,118 RUE DE RIVOLI,118-120,91
